,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.6892384,0.282474754,2,0,47,10,0,4,2,1,2,4,2,2,1,3,3,3,2,1,1,3,2,3,3,3,3,3,1,5000,4,0,0,1,0.02,0.1196
0.5975034,0.133371295,2,1,60,12,1,6,2,1,2,1,2,3,0,1,3,4,0,2,1,2,3,4,3,3,3,3,0,5000,6,1,0,2,0.075,0.094
0.5803959,0.190919704,1,1,54,9,1,5,2,1,0,2,2,2,1,3,1,1,1,1,1,2,3,4,3,3,3,2,1,8500,4,1,0,2,0.022,0.1182
0.5243983,0.111101335,7,1,70,11,1,9,2,1,0,1,2,3,1,2,0,3,0,0,0,3,3,2,3,1,1,0,1,7000,6,1,0,1,0.031,0.0096
0.5505567,0.160045552,2,1,62,11,1,5,2,1,0,4,2,3,1,2,3,3,1,1,1,3,0,2,1,2,3,3,1,7000,4,0,0,2,0.017,0.0618
0.5731382,0.11462764,7,1,43,13,1,6,2,1,2,1,2,3,3,3,3,3,0,2,1,3,3,0,3,1,3,3,1,6000,6,1,1,2,0.031,0.053
0.6311203,0.114333388,3,1,58,11,1,7,1,1,2,1,2,3,1,3,3,7,1,1,1,1,3,4,3,3,1,3,1,2500,7,1,0,3,0.033,0.171
0.6527802,0.17933522,2,1,61,12,1,5,2,1,2,0,2,3,1,1,3,2,1,1,1,3,3,3,3,2,1,3,1,6000,5,1,0,2,0.001,0.0836
0.5627392,0.203891014,2,1,44,9,1,3,2,0,2,4,2,3,3,3,3,2,0,0,1,3,3,3,3,3,3,3,0,3000,3,1,1,2,0.034,0.242
0.6380553,0.111548129,4,1,71,11,1,7,2,1,0,2,1,2,3,1,3,4,2,0,1,3,3,1,0,1,1,3,0,6000,7,0,1,2,0.021,0.0454
0.6096754,0.117245269,2,1,48,14,1,6,2,1,2,4,2,2,2,2,3,4,1,1,1,3,3,4,3,3,3,3,1,3000,6,1,0,1,0.017,0.139
0.6106356,0.2035452,4,0,39,9,0,4,1,1,2,1,2,1,3,2,1,3,1,1,0,3,3,3,2,2,2,1,1,4000,4,0,1,2,0.013,0.049
0.5819996,0.141262039,4,1,51,8,1,5,2,1,2,1,2,2,1,1,1,3,1,1,1,2,2,1,3,4,3,3,1,4000,5,1,0,3,0.02,0.096
0.5190596,0.109046134,2,1,60,12,1,7,2,1,0,1,1,3,3,3,2,3,1,1,1,3,3,4,3,4,1,4,1,6000,6,1,1,3,0.034,0.1162
0.6411799,0.208175292,4,0,45,10,0,4,1,0,0,3,2,1,1,0,2,3,1,0,1,3,3,3,3,3,1,3,1,2000,4,1,0,2,0,0.039
0.6163869,0.135172566,1,1,60,10,1,5,1,1,2,2,2,2,1,2,4,5,1,0,0,3,3,3,1,2,2,3,1,3000,5,0,0,2,0.014,0.134
0.5286959,0.132173975,1,0,45,8,0,5,2,1,1,3,1,3,3,1,2,4,1,1,0,3,3,4,4,4,3,1,1,4000,5,1,1,3,0.04,0.734
0.5355288,0.100663308,3,1,59,11,1,6,2,1,2,4,2,3,3,3,3,3,1,1,1,2,3,1,1,3,3,3,1,6000,6,0,1,2,0.014,0.356
0.6240053,0.152942475,1,1,35,11,1,5,2,0,0,1,2,3,3,3,3,3,1,1,0,3,3,3,3,3,3,2,1,5000,5,1,1,2,0.003,0.276
0.5995474,0.108613659,7,1,68,14,1,7,1,1,0,3,1,3,3,3,2,7,1,1,0,3,3,1,2,3,3,1,1,2000,7,0,1,1,0.01,0.232
0.6299943,0.171194103,2,0,65,12,0,5,2,1,2,3,2,2,3,3,1,3,2,1,1,3,3,3,3,4,1,3,0,6000,5,1,1,2,0.001,0.1126
0.5879296,0.816568889,2,0,28,11,0,1,2,1,0,2,0,3,3,1,1,2,1,1,1,3,1,4,3,4,1,3,0,5000,1,1,1,2,0.012,0.045
